series,subplot,scale,Disturbance.Frequency,Disturbance.Severity
NFD21_07,NW,0.01,1.329362,0.570271
NFD21_07,NW,0.1,1.2855377777777777,0.5794938888888889
NFD21_07,NW,1,1.2796484615384616,0.5638223076923077
NFD21_07,NW,10,1.2299659090909092,0.5447970454545454
NFD21_07,SE,1e-4,1.3102049999999998,0.43523
NFD21_07,SE,0.001,1.0416633333333334,0.5886466666666667
NFD21_07,SE,0.01,1.1358911111111112,0.5313188888888889
NFD21_07,SE,0.1,1.26288,0.5268294117647059
NFD21_07,SE,1,1.2083327272727273,0.52989
NFD21_07,SE,10,1.2001688,0.5273884
NFD21_07,x,100,1.1581584615384615,0.5416060256410257
NFD21_08,NE,1e-4,1.3233300000000001,0.4656766666666667
NFD21_08,NE,0.001,1.0999166666666667,0.4911683333333333
NFD21_08,NE,0.01,1.017076875,0.500956875
NFD21_08,NE,0.1,0.9674204761904762,0.5093890476190476
NFD21_08,NE,1,1.0057265714285715,0.5079271428571429
NFD21_08,NE,10,1.0012977419354838,0.5178743548387097
NFD21_08,SW,1e-4,1.177325,0.39231
NFD21_08,SW,0.001,0.90081,0.459305
NFD21_08,SW,0.01,1.07447375,0.485825
NFD21_08,SW,0.1,1.0418657142857142,0.5098557142857143
NFD21_08,SW,1,1.0655527272727272,0.5082840909090909
NFD21_08,SW,10,1.095318431372549,0.5063935294117647
NFD21_08,x,100,1.0424640697674419,0.5158727906976744
NFD21_09,NW,1e-4,1.2374475,0.5353175
NFD21_09,NW,0.001,1.2903850000000001,0.4693625
NFD21_09,NW,0.01,1.1175608333333333,0.4797
NFD21_09,NW,0.1,1.034544117647059,0.4773776470588235
NFD21_09,NW,1,0.9373844827586207,0.49630137931034485
NFD21_09,NW,10,0.936254255319149,0.504874255319149
NFD21_09,SE,1e-4,1.0594166666666667,0.46521666666666667
NFD21_09,SE,0.001,0.8580957142857143,0.49268142857142855
NFD21_09,SE,0.01,0.9403378571428571,0.49186642857142854
NFD21_09,SE,0.1,0.8644930769230769,0.5081846153846153
NFD21_09,SE,1,0.8937188888888888,0.5071383333333334
NFD21_09,SE,10,0.9242344,0.5028224
NFD21_09,x,100,0.9226722388059702,0.5114068656716418
NFD21_10,NW,1e-4,0.366376,0.573118
NFD21_10,NW,0.001,0.40003333333333335,0.5804344444444445
NFD21_10,NW,0.01,0.5780923076923077,0.54406
NFD21_10,NW,0.1,0.839097,0.5198436666666667
NFD21_10,NW,1,0.86820625,0.5250114583333333
NFD21_10,NW,10,0.8996236666666667,0.5177946666666666
NFD21_10,SE,1e-4,0.922216,0.565806
NFD21_10,SE,0.001,0.87364,0.5571685714285715
NFD21_10,SE,0.01,0.8998854545454545,0.5297072727272727
NFD21_10,SE,0.1,0.8606665217391304,0.5236065217391305
NFD21_10,SE,1,0.8453864102564103,0.5152884615384615
NFD21_10,SE,10,0.8936385185185185,0.5138725925925925
NFD21_10,x,100,0.8942763513513513,0.5142172972972973
NFD21_11,NE,1e-4,0.9551974999999999,0.3400025
