type,series,richness_type,c,z,p_value_slope,r_squared
p_a,UAS28,total_species,15.549764414825987,0.1387043754469838,2.7145886923080614e-10,0.9821776810100763
p_a,UAS28,native,13.290939538748054,0.1312411832149581,1.928177307890549e-9,0.9735731939925989
p_a,UAS28,non_native,2.2456102523406973,0.1790104935741816,1.7943157714089135e-6,0.9256425715430096
p_a,UAS28,invasive,NA,NA,NA,NA
p_a,UAS29,total_species,7.258367060507647,0.11881525888025929,8.215068655295417e-7,0.9234800146557047
p_a,UAS29,native,6.934588601838797,0.11186928288358049,1.8378938963387756e-6,0.9099020641427116
p_a,UAS29,non_native,0.2830397025235058,0.2785708530774326,0.04747518356879178,0.49798449183433513
p_a,UAS29,invasive,NA,NA,NA,NA
p_a,UAS30,total_species,21.517690945283896,0.1478974804263028,6.383889054181516e-7,0.9334812651828309
p_a,UAS30,native,19.904858699727754,0.1452385894835458,4.307172670386603e-7,0.9372431876257852
p_a,UAS30,non_native,1.617007732037834,0.1763468656208887,4.658185554905723e-4,0.7973669005046516
p_a,UAS30,invasive,NA,NA,NA,NA
p_a,UAS31,total_species,19.806912256092048,0.17764486185334025,1.5420335142141628e-7,0.9527470139233272
p_a,UAS31,native,16.19025957161719,0.17091032474931134,2.4872547649813e-6,0.9187998971706783
p_a,UAS31,non_native,3.5947442037107704,0.2078074889789445,1.845114288984311e-4,0.8314834636653772
p_a,UAS31,invasive,NA,NA,NA,NA
p_a,UAS32,total_species,17.210979623609553,0.20734696525445376,3.051445603003381e-10,0.9856023883338634
p_a,UAS32,native,14.733031443200781,0.2038585986614121,2.2254888929947794e-10,0.9861941835188706
p_a,UAS32,non_native,2.481992455662878,0.22636706748448882,5.343020327957032e-6,0.9182689642442069
p_a,UAS32,invasive,NA,NA,NA,NA
p_a,UAS33,total_species,12.022732750936793,0.2178472472008059,9.951097667535115e-7,0.9738711596579108
p_a,UAS33,native,12.023182682982698,0.21261842235667713,1.5748349880629625e-6,0.9705757903969419
p_a,UAS33,non_native,NA,NA,NA,NA
p_a,UAS33,invasive,NA,NA,NA,NA
p_a,UAS34,total_species,10.779564587789277,0.1685542385720181,3.908965763113999e-9,0.9749902551580051
p_a,UAS34,native,10.4134461303223,0.15830509893967035,1.7048694419774756e-8,0.9665707077270589
p_a,UAS34,non_native,0.2730807229354743,0.4423597352739895,9.0992035975363e-6,0.9372593661322912
p_a,UAS34,invasive,NA,NA,NA,NA
p_a,UAS35,total_species,14.386747232542048,0.22072686122846244,8.21626348917175e-6,0.9525931521239424
p_a,UAS35,native,14.386747232542048,0.22072686122846244,8.21626348917175e-6,0.9525931521239424
p_a,UAS35,non_native,NA,NA,NA,NA
p_a,UAS35,invasive,NA,NA,NA,NA
p_a,UAS36,total_species,16.59276629438861,0.19063200080229567,1.8710196357921757e-7,0.9491015635791444
p_a,UAS36,native,16.048364206996443,0.18688086353658992,6.030050684919373e-8,0.9582750422063694
p_a,UAS36,non_native,0.5337621884910745,0.2852806159489932,0.024289263358805196,0.5630986175935391
p_a,UAS36,invasive,0.13653989417256604,0.4423605921989992,0.017691411153930754,0.6603418261361216
p_a,UAS37,total_species,5.116859024803545,0.20823943826754665,5.740545875028913e-6,0.954134223434438
p_a,UAS37,native,5.116859024803545,0.20823943826754665,5.740545875028913e-6,0.954134223434438
p_a,UAS37,non_native,NA,NA,NA,NA
p_a,UAS37,invasive,NA,NA,NA,NA
p_a,UAS38,total_species,3.957907482048818,0.20115066049272012,1.261862600769033e-5,0.8750980754088081
p_a,UAS38,native,3.4233432434583557,0.17222428165809336,6.001732060047946e-6,0.8849375024984129
p_a,UAS38,non_native,0.21603197996373766,0.5643905924324508,0.013605627674195781,0.6534850685171248
p_a,UAS38,invasive,NA,NA,NA,NA
p_a,UAS39,total_species,5.140381346490042,0.19377912387447682,6.534465073402665e-7,0.933838566401503
p_a,UAS39,native,5.140381346490042,0.19377912387447682,6.534465073402665e-7,0.933838566401503
p_a,UAS39,non_native,NA,NA,NA,NA
p_a,UAS39,invasive,NA,NA,NA,NA
p_a,UAS40,total_species,13.684408528568403,0.2048660203529564,3.039911099586519e-4,0.8469492642765402
p_a,UAS40,native,13.27514113326934,0.2054906629151668,1.8124586882709563e-4,0.8643533920790413
p_a,UAS40,non_native,0.40744607190394994,0.185392155181524,0.1414538101540306,0.3143047125841939
p_a,UAS40,invasive,0.40744607190394994,0.185392155181524,0.1414538101540306,0.3143047125841939
p_a,UAS41,total_species,19.935542089085764,0.16927094293610612,7.298279665968541e-10,0.9811033764933023
p_a,UAS41,native,17.318155935949136,0.1784815420478122,2.0557886245503227e-9,0.9773907837375903
p_a,UAS41,non_native,2.5185856060105234,0.1170893384253089,0.0016516606376125805,0.6994788323198349
p_a,UAS41,invasive,0.7821625293339569,0.11250822610095351,0.016876208365257737,0.537714430664088
p_a,UAS42,total_species,5.668169548974213,0.19535346406710505,1.070656622362737e-6,0.9332995277759959
p_a,UAS42,native,5.668169548974213,0.19535346406710505,1.070656622362737e-6,0.9332995277759959
