series,dataset,subplot,habitat_group,economic_use,zonality,lon,lat,altitude,BIO1,BIO12,BIO7,BIO15,pH,depth_mean,cover_herbs,cover_herbs_sum,inclination,heat_index,cover_litter,grazing,grazing_intencity,mowing,burning,abandonment,build_up_5km,built_up_2km,deph_SD,microrelief,cover_stones,cover_gravel,cover_soil,cover_shrub_total,sand,silt,clay,conductivity,Corg,roads,footprint_values,cover_gravel_stones
UAS48,6,SE,sandy,0,0,32.83058,46.41217,18,109,416,318,18,6.81,84.6,82,88.461,5,-0.015192247,85,0,0,0,0,1,0,0,3.130495168,7,0,0,100,0,89,6.5,4.5,87.6,0.18,182,11,0
UAS49,6,NW,sandy,0,0,32.977072,46.566937,9,108,430,328,18,7.05,77,20,21.51,3,-0.052208352,2,0,0,0,0,1,4.210919129,0.276677316,2.738612788,25,0,0,99.9,0,99,0.6,0.4,56.1,0.192,277,5,0
UAS49,6,SE,sandy,0,0,32.977207,46.566855,15,108,430,328,18,7.01,67.8,20,23.153,2,-0.024692713,2,0,0,0,0,1,4.207531723,0.273771538,2.863564213,0,0,0,100,0,98,1.1,0.9,51.2,0.048,277,5,0
BS19005,11,NW,sandy,0,0,31.979077,46.838331,11,106,425,328,23,8,NA,70,84.32,7,0.070426331,55,0,0,0,0,1,28.16289979,22.625,NA,3,0,0,100,3.05,NA,NA,NA,NA,NA,611,34,0
BS19005,11,SE,sandy,0,0,31.9792,46.83821,11,106,425,328,23,7.5,NA,65,87.813,2,0.020029731,40,0,0,0,0,1,28.16462895,22.48013245,NA,3,0,0,100,2.3,NA,NA,NA,NA,NA,611,34,0
BS19023,11,NW,sandy,0,0,32.097061,47.013706,30,104,428,333,23,7.4,NA,65,78.07,0,0,30,1,1,0,0,0,27.88739891,20.59872611,NA,3,0,0,100,0,NA,NA,NA,NA,NA,627,18,0
BS19023,11,SE,sandy,0,0,32.09722,47.01363,30,104,428,333,23,8.2,NA,55,70.21,0,0,40,1,1,0,0,0,27.86711643,20.62372449,NA,4,0,0,100,0,NA,NA,NA,NA,NA,627,18,0
BS19031,11,NW,sandy,0,0,31.95576,46.80219,11,107,416,327,23,7.3,NA,60,74.91,0,0,20,1,1,0,0,0,14.09131633,32.98412698,NA,7,0,0,100,0,NA,NA,NA,NA,NA,573,21,0
BS19031,11,SE,sandy,0,0,31.955884,46.802053,11,107,416,327,23,7.1,NA,62,77.57,0,0,20,1,1,0,0,0,14.06224209,32.90333919,NA,2,0,0,100,0,NA,NA,NA,NA,NA,573,21,0
BS19032,11,NW,sandy,0,0,30.62159,47.908715,79,97,487,325,30,7.4,NA,65,82.2,0,0,20,1,2,0,0,0,4.507973829,1.395393474,NA,3,0,0,100,1.5,NA,NA,NA,NA,NA,431,13,0
