type,series,scale,total_species,native,non_native,invasive,naturalised,casual,neophyte,archaeophyte,non_native_percent,invasive_percent,archaeophyte_percent,neophyte_percent,p_a_non_native,p_a_invasive,p_a_neophyte,pca1_clima,dataset,habitat_group,habitat_broad,economic_use,zonality,lon,lat,altitude,BIO1,BIO12,BIO7,BIO15,pH,depth_mean,cover_herbs,cover_herbs_sum,inclination,heat_index,cover_litter,grazing,grazing_intencity,mowing,burning,abandonment,build_up_5km,built_up_2km,deph_SD,microrelief,cover_stones,cover_gravel,cover_soil,cover_shrub_total,sand,silt,clay,conductivity,Corg,roads,footprint_values,cover_gravel_stones,builtup_250m,cropland_250m,builtup_500m,cropland_500m,builtup_1000m,cropland_1000m,builtup_2000m,cropland_2000m
p_a,BS19013,10,26,25,1,0,1,0,0,1,0.038461538461538464,0,0.038461538461538464,0,1,0,0,-0.627036027,11,xeric,dry,1,1,32.225471999999996,47.1445675,28,101,447,336,26,6.9,NA,67.5,82.4,12.5,0.218624175,57.5,0,0,0,0,1,3.650107367,0.28854813749999997,NA,5,0,0,100,0,NA,NA,NA,NA,NA,357,9,0,0,21.7564697265625,0,19.72429943084715,0.1480405107140545,24.1430025100708,0.29262982308864605,36.87469482421875
p_a,BS19013,100,38,36,2,1,1,0,0,2,0.05263157894736842,0.02631578947368421,0.05263157894736842,0,1,1,0,-0.627036027,11,xeric,dry,1,1,32.225471999999996,47.1445675,28,101,447,336,26,6.9,NA,67.5,82.4,12.5,0.218624175,57.5,0,0,0,0,1,3.650107367,0.28854813749999997,NA,5,0,0,100,0,NA,NA,NA,NA,NA,357,9,0,0,21.7564697265625,0,19.72429943084715,0.1480405107140545,24.1430025100708,0.29262982308864605,36.87469482421875
p_a,BS19023,1e-4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.751442539,11,sandy,dry,0,0,32.097140499999995,47.013668,30,104,428,333,23,7.8,NA,60,74.13999999999999,0,0,35,1,1,0,0,0,27.87725767,20.6112253,NA,3.5,0,0,100,0,NA,NA,NA,NA,NA,627,18,0,9.958466053009037,10.7171263694763,17.8935956954956,12.4942264556885,21.089973449707053,17.3360004425049,21.09608554840085,21.157601356506348
p_a,BS19023,0.001,3,2,1,1,0,0,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1,1,0,-0.751442539,11,sandy,dry,0,0,32.097140499999995,47.013668,30,104,428,333,23,7.8,NA,60,74.13999999999999,0,0,35,1,1,0,0,0,27.87725767,20.6112253,NA,3.5,0,0,100,0,NA,NA,NA,NA,NA,627,18,0,9.958466053009037,10.7171263694763,17.8935956954956,12.4942264556885,21.089973449707053,17.3360004425049,21.09608554840085,21.157601356506348
p_a,BS19023,0.01,6,5,1,1,0,0,0,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,1,1,0,-0.751442539,11,sandy,dry,0,0,32.097140499999995,47.013668,30,104,428,333,23,7.8,NA,60,74.13999999999999,0,0,35,1,1,0,0,0,27.87725767,20.6112253,NA,3.5,0,0,100,0,NA,NA,NA,NA,NA,627,18,0,9.958466053009037,10.7171263694763,17.8935956954956,12.4942264556885,21.089973449707053,17.3360004425049,21.09608554840085,21.157601356506348
p_a,BS19023,0.1,11,9,2,1,1,0,0,2,0.18181818181818182,0.09090909090909091,0.18181818181818182,0,1,1,0,-0.751442539,11,sandy,dry,0,0,32.097140499999995,47.013668,30,104,428,333,23,7.8,NA,60,74.13999999999999,0,0,35,1,1,0,0,0,27.87725767,20.6112253,NA,3.5,0,0,100,0,NA,NA,NA,NA,NA,627,18,0,9.958466053009037,10.7171263694763,17.8935956954956,12.4942264556885,21.089973449707053,17.3360004425049,21.09608554840085,21.157601356506348
p_a,BS19023,1,14,11,3,1,2,0,0,3,0.21428571428571427,0.07142857142857142,0.21428571428571427,0,1,1,0,-0.751442539,11,sandy,dry,0,0,32.097140499999995,47.013668,30,104,428,333,23,7.8,NA,60,74.13999999999999,0,0,35,1,1,0,0,0,27.87725767,20.6112253,NA,3.5,0,0,100,0,NA,NA,NA,NA,NA,627,18,0,9.958466053009037,10.7171263694763,17.8935956954956,12.4942264556885,21.089973449707053,17.3360004425049,21.09608554840085,21.157601356506348
p_a,BS19023,10,24,19,5,2,3,0,1,4,0.20833333333333334,0.08333333333333333,0.16666666666666666,0.041666666666666664,1,1,1,-0.751442539,11,sandy,dry,0,0,32.097140499999995,47.013668,30,104,428,333,23,7.8,NA,60,74.13999999999999,0,0,35,1,1,0,0,0,27.87725767,20.6112253,NA,3.5,0,0,100,0,NA,NA,NA,NA,NA,627,18,0,9.958466053009037,10.7171263694763,17.8935956954956,12.4942264556885,21.089973449707053,17.3360004425049,21.09608554840085,21.157601356506348
p_a,BS19023,1e-4,2,1,1,1,0,0,0,1,0.5,0.5,0.5,0,1,1,0,-0.751442539,11,sandy,dry,0,0,32.097140499999995,47.013668,30,104,428,333,23,7.8,NA,60,74.13999999999999,0,0,35,1,1,0,0,0,27.87725767,20.6112253,NA,3.5,0,0,100,0,NA,NA,NA,NA,NA,627,18,0,9.958466053009037,10.7171263694763,17.8935956954956,12.4942264556885,21.089973449707053,17.3360004425049,21.09608554840085,21.157601356506348
p_a,BS19023,0.001,2,1,1,1,0,0,0,1,0.5,0.5,0.5,0,1,1,0,-0.751442539,11,sandy,dry,0,0,32.097140499999995,47.013668,30,104,428,333,23,7.8,NA,60,74.13999999999999,0,0,35,1,1,0,0,0,27.87725767,20.6112253,NA,3.5,0,0,100,0,NA,NA,NA,NA,NA,627,18,0,9.958466053009037,10.7171263694763,17.8935956954956,12.4942264556885,21.089973449707053,17.3360004425049,21.09608554840085,21.157601356506348
